ID,X,Y,Z
P269,536782.316731337,3254071.4258789,215.372
P270,536782.331736632,3254066.80922614,214.762
P271,536810.310689688,3254163.85086325,213.645
P272,536810.325706915,3254159.23420983,213.141
P273,536810.340724087,3254154.61756753,212.705
P274,536810.355741275,3254150.00091417,212.346
P275,536810.370758444,3254145.38426085,212.064
P276,536810.385775558,3254140.76761863,211.845
P277,536810.400792688,3254136.15096536,211.687
P278,536810.415809798,3254131.53431211,211.551
P279,536810.430826853,3254126.91766998,211.433
P280,536810.445843925,3254122.3010168,211.317
P281,536810.460860977,3254117.68436364,211.076
P282,536810.475877974,3254113.0677216,210.837
P283,536810.490894987,3254108.4510685,210.575
P284,536810.505911981,3254103.83441543,210.306
P285,536810.520928919,3254099.21777347,210.042
P286,536810.535945874,3254094.60112046,209.768
P287,536810.550962809,3254089.98446748,209.607
P288,536810.565979689,3254085.36782561,209.503
P289,536810.580996586,3254080.75117268,209.387
P290,536810.596013463,3254076.13451978,209.229
P291,536810.611030284,3254071.517878,209.1
P292,536810.626047122,3254066.90122516,209.1
P293,536810.641063941,3254062.28457235,209.1
P294,536810.656080704,3254057.66793065,209.1
P295,536810.671097484,3254053.0512779,209.1
P296,536838.619796739,3254159.32628125,209.401
P297,536838.634825454,3254154.70963886,209.299
P298,536838.649854186,3254150.09298542,209.207
P299,536838.664882898,3254145.47633202,209.1
P300,536838.679911555,3254140.85968972,209.1
P301,536838.694940229,3254136.24303636,209.1
P302,536838.709968883,3254131.62638304,209.1
P303,536838.724997481,3254127.00974083,209.1
P304,536838.740026096,3254122.39308756,209.202
P305,536838.755054691,3254117.77643433,209.324
P306,536838.770083231,3254113.1597922,209.36
P307,536838.785111788,3254108.54313902,209.544
P308,536838.800140325,3254103.92648587,209.783
P309,536838.815168806,3254099.30984383,209.935
P310,536838.830197305,3254094.69319074,210.12
P311,536838.845225783,3254090.07653767,210.096
P312,536838.860254206,3254085.45989572,210.083
P313,536838.875282646,3254080.84324271,210.076
P314,536838.890311066,3254076.22658974,210.071
P315,536838.905339431,3254071.60994787,210.063
P316,536838.920367812,3254066.99329495,210.047
P317,536838.935396174,3254062.37664206,210.019
P318,536838.95042448,3254057.76000028,209.978
P319,536838.965452803,3254053.14334744,209.925
P320,536838.980481106,3254048.52669464,209.863
P321,536866.928927319,3254154.80178094,210.347
P322,536866.943967595,3254150.18512742,210.483
P323,536866.959007851,3254145.56847393,210.644
P324,536866.974048051,3254140.95183155,210.835
P325,536866.989088267,3254136.33517812,211.046
P326,536867.004128465,3254131.71852471,211.266
P327,536867.019168606,3254127.10188242,211.506
P328,536867.034208765,3254122.48522907,211.749
P329,536867.049248903,3254117.86857576,211.988
P330,536867.064288987,3254113.25193355,212.216
P331,536867.079329087,3254108.63528029,212.432
P332,536867.094369167,3254104.01862706,212.624
P333,536867.109409191,3254099.40198493,212.785
P334,536786.043618406,3254168.38865451,219.519
P335,536786.058625758,3254163.77200114,219.396
P336,536786.073633091,3254159.1553478,219.181
P337,536786.088640369,3254154.53870556,218.92
P338,536786.103647663,3254149.92205227,218.579
P339,536786.118654937,3254145.30539902,218.069
P340,536786.133662157,3254140.68875687,217.744
P341,536786.148669392,3254136.07210367,217.425
P342,536786.163676609,3254131.45545049,217.129
P343,536786.178683769,3254126.83880843,216.865
P344,536786.193690947,3254122.22215532,216.627
P345,536786.208698105,3254117.60550223,216.414
P346,536786.223705207,3254112.98886026,216.224
P347,536786.238712326,3254108.37220723,216.061
P348,536786.253719426,3254103.75555423,215.977
P349,536786.26872647,3254099.13891234,215.906
P350,536786.28373353,3254094.5222594,215.801
P351,536786.298740572,3254089.90560648,215.67
P352,536786.313747557,3254085.28896468,215.433
P353,536786.32875456,3254080.67231183,215.078
P354,536786.343761542,3254076.055659,214.602
P355,536786.35876847,3254071.43901728,214.038
P356,536786.373775414,3254066.82236451,213.453
P357,536786.388782338,3254062.20571177,212.804
P358,536814.352703613,3254163.864012,212.677
P359,536814.367722489,3254159.24735857,212.277
P360,536814.38274131,3254154.63071625,211.941
P361,536814.397760147,3254150.01406289,211.687
P362,536814.412778965,3254145.39740955,211.498
P363,536814.427797728,3254140.78076732,211.36
P364,536814.442816507,3254136.16411404,211.263
P365,536814.457835266,3254131.54746078,211.18
P366,536814.472853971,3254126.93081864,210.942
P367,536814.487872691,3254122.31416544,210.733
P368,536814.502891393,3254117.69751228,210.478
P369,536814.517910038,3254113.08087022,210.207
P370,536814.5329287,3254108.46421711,209.938
P371,536814.547947343,3254103.84756403,209.647
P372,536814.562965931,3254099.23092206,209.416
P373,536814.577984534,3254094.61426904,209.384
P374,536814.593003119,3254089.99761604,209.305
P375,536814.608021648,3254085.38097416,209.202
P376,536814.623040193,3254080.76432122,209.1
P377,536814.638058719,3254076.14766831,209.1
P378,536814.65307719,3254071.53102651,209.1
P379,536814.668095677,3254066.91437366,209.1
P380,536814.683114145,3254062.29772084,209.179
P381,536814.698132557,3254057.68107913,209.244
P382,536814.713150986,3254053.06442637,209.357
P383,536842.661812384,3254159.33944009,209.197
P384,536842.676842748,3254154.72279769,209.1
P385,536842.691873129,3254150.10614424,209.1
P386,536842.706903491,3254145.48949082,209.1
P387,536842.721933796,3254140.87284851,209.1
P388,536842.736964119,3254136.25619515,209.172
P389,536842.751994422,3254131.63954182,209.236
P390,536842.767024669,3254127.02289959,209.344
P391,536842.782054933,3254122.40624631,209.377
P392,536842.797085178,3254117.78959307,209.579
P393,536842.812115367,3254113.17295093,209.846
P394,536842.827145572,3254108.55629774,210.035
P395,536842.842175758,3254103.93964458,210.263
P396,536842.857205889,3254099.32300252,210.261
P397,536842.872236036,3254094.70634942,210.26
P398,536842.887266164,3254090.08969634,210.265
P399,536842.902296236,3254085.47305438,210.281
P400,536842.917326325,3254080.85640136,210.298
P401,536842.932356394,3254076.23974837,210.311
P402,536842.947386407,3254071.62310649,210.315
P403,536842.962416438,3254067.00645356,210.304
P404,536842.977446448,3254062.38980066,210.274
P405,536842.992476404,3254057.77315886,210.225
P406,536843.007506375,3254053.15650602,210.155
P407,536843.022536328,3254048.5398532,210.073
P408,536843.037566225,3254043.9232115,209.99
P409,536870.970934984,3254154.81494985,210.626
P410,536870.985976908,3254150.19829632,210.792
P411,536871.001018813,3254145.58164281,210.986
P412,536871.016060663,3254140.96500042,211.205
P413,536871.031102528,3254136.34834698,211.428
P414,536871.046144375,3254131.73169356,211.655
P415,536871.061186165,3254127.11505126,211.907
P416,536871.076227973,3254122.4983979,212.164
P417,536871.09126976,3254117.88174457,212.411
P418,536871.106311493,3254113.26510235,212.641
P419,536871.121353242,3254108.64844908,212.855
P420,536871.136394971,3254104.03179584,213.036
P421,536762.046518699,3254089.82679747,219.607
P422,536762.061515791,3254085.21015573,219.443
P423,536762.076512899,3254080.59350295,219.246
P424,536762.091509987,3254075.97685019,218.936
P425,536790.085630621,3254168.40179461,218.933
P426,536790.100639622,3254163.78514123,218.676
P427,536790.115648604,3254159.16848787,218.344
P428,536790.130657531,3254154.55184562,217.941
P429,536790.145666474,3254149.93519233,217.595
P430,536790.160675398,3254145.31853906,217.221
P431,536790.175684266,3254140.7018969,216.855
P432,536790.19069315,3254136.08524368,216.498
P433,536790.205702016,3254131.4685905,216.165
P434,536790.220710826,3254126.85194842,215.861
P435,536790.235719652,3254122.2352953,215.589
P436,536790.250728459,3254117.6186422,215.349
P437,536790.26573721,3254113.00200021,215.14
P438,536790.280745978,3254108.38534717,214.97
P439,536790.295754727,3254103.76869416,214.83
P440,536790.31076342,3254099.15205226,214.695
P441,536790.32577213,3254094.53539931,214.55
P442,536790.34078082,3254089.91874638,214.327
P443,536790.355789455,3254085.30210457,214.054
P444,536790.370798106,3254080.6854517,213.694
P445,536790.385806738,3254076.06879886,213.217
P446,536790.400815315,3254071.45215713,212.587
P447,536790.415823908,3254066.83550435,212.218
P448,536790.430832481,3254062.2188516,211.801
P449,536818.394717547,3254163.87716219,211.893
P450,536818.409738073,3254159.26050875,211.618
P451,536818.424758543,3254154.64386642,211.395
P452,536818.439779029,3254150.02721304,211.23
P453,536818.454799496,3254145.41055969,211.106
P454,536818.469819908,3254140.79391745,211.015
P455,536818.484840336,3254136.17726416,210.783
P456,536818.499860745,3254131.56061089,210.58
P457,536818.514881098,3254126.94396874,210.332
P458,536818.529901468,3254122.32731553,210.116
P459,536818.544921818,3254117.71066235,209.875
P460,536818.559942113,3254113.09402028,209.602
P461,536818.574962424,3254108.47736716,209.478
P462,536818.589982716,3254103.86071407,209.35
P463,536818.605002952,3254099.24407209,209.234
P464,536818.620023205,3254094.62741905,209.1
P465,536818.635043439,3254090.01076605,209.1
P466,536818.650063616,3254085.39412415,209.1
P467,536818.665083811,3254080.7774712,209.1
P468,536818.680103986,3254076.16081828,209.1
P469,536818.695124106,3254071.54417647,209.179
P470,536818.710144242,3254066.92752361,209.295
P471,536818.725164358,3254062.31087078,209.393
P472,536818.74018442,3254057.69422905,209.511
P473,536818.755204497,3254053.07757628,209.624
P474,536846.703818337,3254159.35260035,209.1
P475,536846.718850351,3254154.73595794,209.1
P476,536846.733882381,3254150.11930448,209.1
P477,536846.748914391,3254145.50265104,209.165
P478,536846.763946346,3254140.88600872,209.256
P479,536846.778978318,3254136.26935535,209.37
P480,536846.794010269,3254131.652702,209.479
P481,536846.809042166,3254127.03605976,209.626
P482,536846.824074079,3254122.41940648,209.892
P483,536846.839105973,3254117.80275322,210.103
P484,536846.854137811,3254113.18611107,210.364
P485,536846.869169665,3254108.56945786,210.398
P486,536846.8842015,3254103.95280469,210.432
P487,536846.89923328,3254099.33616263,210.467
P488,536846.914265076,3254094.71950951,210.502
P489,536846.929296853,3254090.10285643,210.54
P490,536846.944328574,3254085.48621445,210.586
P491,536846.959360312,3254080.86956142,210.628
P492,536846.97439203,3254076.25290842,210.658
P493,536846.989423692,3254071.63626653,210.671
P494,536847.004455372,3254067.01961358,210.662
P495,536847.019487032,3254062.40296067,210.628
P496,536847.034518636,3254057.78631886,210.566
P497,536847.049550256,3254053.16966601,210.475
P498,536847.064581858,3254048.55301318,210.367
P499,536847.079613404,3254043.93637146,210.256
P500,536875.012952358,3254154.82812023,210.973
P501,536875.027995932,3254150.21146669,211.16
P502,536875.043039485,3254145.59481317,211.373
P503,536875.058082984,3254140.97817077,211.604
P504,536875.073126499,3254136.36151731,211.823
P505,536875.088169994,3254131.74486389,212.043
P506,536875.103213434,3254127.12822157,212.292
P507,536875.11825689,3254122.5115682,212.548
P508,536875.133300327,3254117.89491486,212.785
P509,536875.148343708,3254113.27827263,213.002
P510,536875.163387106,3254108.66161934,213.201
P511,536766.043562476,3254103.68987628,219.611
P512,536766.058561275,3254099.07323444,219.428
P513,536766.073560091,3254094.45658156,219.322
P514,536766.088558887,3254089.8399287,219.278
P515,536766.103557627,3254085.22328696,219.109
P516,536766.118556384,3254080.60663416,218.913
P517,536766.133555122,3254075.98998139,218.631
P518,536766.148553805,3254071.37333973,218.185
P519,536794.127642844,3254168.41493615,218.22
P520,536794.142653495,3254163.79828276,217.882
P521,536794.157664126,3254159.18162939,217.5
P522,536794.172674702,3254154.56498713,217.078
P523,536794.187685294,3254149.94833382,216.636
P524,536794.202695867,3254145.33168054,216.19
P525,536794.217706384,3254140.71503837,215.766
P526,536794.232716918,3254136.09838514,215.367
P527,536794.247727432,3254131.48173195,215.007
P528,536794.262737891,3254126.86508986,214.686
P529,536794.277748366,3254122.24843672,214.405
P530,536794.292758822,3254117.63178362,214.164
P531,536794.307769223,3254113.01514162,213.957
P532,536794.32277964,3254108.39848856,213.745
P533,536794.337790038,3254103.78183554,213.543
P534,536794.35280038,3254099.16519363,213.334
P535,536794.367810738,3254094.54854066,213.052
P536,536794.382821078,3254089.93188773,212.686
P537,536794.397831362,3254085.3152459,212.451
P538,536794.412841662,3254080.69859302,212.232
P539,536794.427851943,3254076.08194017,211.95
P540,536794.442862168,3254071.46529843,211.621
P541,536794.45787241,3254066.84864564,211.233
P542,536794.472882633,3254062.23199288,210.812
P543,536794.4878928,3254057.61535122,210.387
P544,536822.436721791,3254163.89031379,211.293
P545,536822.451743965,3254159.27366034,211.127
P546,536822.466766084,3254154.657018,210.995
P547,536822.48178822,3254150.04036461,210.899
P548,536822.496810336,3254145.42371125,210.66
P549,536822.511832396,3254140.807069,210.451
P550,536822.526854474,3254136.19041569,210.194
P551,536822.541876532,3254131.57376242,209.952
P552,536822.556898534,3254126.95712025,209.692
P553,536822.571920552,3254122.34046703,209.538
P554,536822.586942552,3254117.72381384,209.438
P555,536822.601964496,3254113.10717176,209.326
P556,536822.616986456,3254108.49051863,209.222
P557,536822.632008397,3254103.87386552,209.1
P558,536822.647030282,3254099.25722353,209.1
P559,536822.662052184,3254094.64057048,209.1
P560,536822.677074067,3254090.02391747,209.1
P561,536822.692095894,3254085.40727556,209.1
P562,536822.707117737,3254080.7906226,209.185
P563,536822.722139561,3254076.17396967,209.283
P564,536822.73716133,3254071.55732785,209.39
P565,536822.752183115,3254066.94067497,209.522
P566,536822.767204881,3254062.32402213,209.709
P567,536822.782226591,3254057.70738039,209.941
P568,536822.797248318,3254053.09072761,209.891
P569,536822.812270025,3254048.47407485,209.836
P570,536850.745834001,3254159.36576208,209.1
P571,536850.760867664,3254154.74911966,209.173
P572,536850.775901343,3254150.13246618,209.222
P573,536850.790935002,3254145.51581274,209.296
P574,536850.805968606,3254140.89917041,209.397
P575,536850.821002227,3254136.28251702,209.692
P576,536850.836035828,3254131.66586366,209.944
P577,536850.851069373,3254127.04922141,210.145
P578,536850.866102935,3254122.43256811,210.416
P579,536850.881136478,3254117.81591484,210.493
P580,536850.896169965,3254113.19927268,210.57
P581,536850.911203469,3254108.58261947,210.648
P582,536850.926236953,3254103.96596628,210.726
P583,536850.941270381,3254099.34932421,210.804
P584,536850.956303827,3254094.73267108,210.876
P585,536850.971337252,3254090.11601798,210.949
P586,536850.986370623,3254085.49937599,211.026
P587,536851.001404009,3254080.88272295,211.094
P588,536851.016437377,3254076.26606994,211.14
P589,536851.031470688,3254071.64942804,211.161
P590,536851.046504017,3254067.03277508,211.15
P591,536851.061537325,3254062.41612216,211.106
P592,536851.076570578,3254057.79948034,211.025
P593,536851.091603848,3254053.18282747,210.905
P594,536851.106637099,3254048.56617463,210.764
P595,536851.121670294,3254043.9495329,210.62
P596,536879.070014966,3254150.2246385,211.579
P597,536879.085060169,3254145.60798498,211.781
P598,536879.100105316,3254140.99134256,211.992
P599,536879.11515048,3254136.37468909,212.189
P600,536879.130195625,3254131.75803565,212.385
P601,536879.145240713,3254127.14139333,212.613
P602,536879.160285819,3254122.52473994,212.847
P603,536879.175330905,3254117.90808659,213.059
P604,536770.040596193,3254117.55295685,219.75
P605,536770.055596699,3254112.93631492,219.442
P606,536770.070597222,3254108.31966194,219.273
P607,536770.085597726,3254103.70300899,219.099
P608,536770.100598174,3254099.08636715,218.924
P609,536770.115598638,3254094.46971425,218.832
P610,536770.130599083,3254089.85306138,218.833
P611,536770.145599473,3254085.23641963,218.681
P612,536770.160599879,3254080.61976682,218.466
P613,536770.175600266,3254076.00311404,218.204
P614,536770.190600597,3254071.38647237,217.823

